id,link,bank,rating
534192,/bank/tinkoff-bank/otzyvy/534192,tinkoff-bank,5
534187,/bank/sovkombank/otzyvy/534187,sovkombank,5
534184,/bank/tinkoff-bank/otzyvy/534184,tinkoff-bank,5
534171,/bank/tinkoff-bank/otzyvy/534171,tinkoff-bank,5
534155,/bank/gazprombank/otzyvy/534155,gazprombank,5
534153,/bank/gazprombank/otzyvy/534153,gazprombank,5
534145,/bank/sovkombank/otzyvy/534145,sovkombank,5
534143,/bank/gazprombank/otzyvy/534143,gazprombank,5
534136,/bank/gazprombank/otzyvy/534136,gazprombank,5
534131,/bank/gazprombank/otzyvy/534131,gazprombank,5
534125,/bank/sovkombank/otzyvy/534125,sovkombank,5
534123,/bank/sovkombank/otzyvy/534123,sovkombank,5
534094,/bank/tinkoff-bank/otzyvy/534094,tinkoff-bank,5
534048,/bank/sovkombank/otzyvy/534048,sovkombank,5
534037,/bank/sovkombank/otzyvy/534037,sovkombank,5
534029,/bank/sovkombank/otzyvy/534029,sovkombank,5
534027,/bank/tinkoff-bank/otzyvy/534027,tinkoff-bank,5
534026,/bank/sovkombank/otzyvy/534026,sovkombank,5
534025,/bank/sovkombank/otzyvy/534025,sovkombank,5
534019,/bank/tinkoff-bank/otzyvy/534019,tinkoff-bank,5
533983,/bank/sovkombank/otzyvy/533983,sovkombank,5
533981,/bank/sovkombank/otzyvy/533981,sovkombank,5
533974,/bank/sovkombank/otzyvy/533974,sovkombank,5
533969,/bank/sovkombank/otzyvy/533969,sovkombank,5
533958,/bank/sovkombank/otzyvy/533958,sovkombank,5
533930,/bank/tinkoff-bank/otzyvy/533930,tinkoff-bank,5
533925,/bank/sovkombank/otzyvy/533925,sovkombank,5
533900,/bank/tinkoff-bank/otzyvy/533900,tinkoff-bank,5
533866,/bank/tinkoff-bank/otzyvy/533866,tinkoff-bank,5
533861,/bank/tinkoff-bank/otzyvy/533861,tinkoff-bank,5
533849,/bank/sovkombank/otzyvy/533849,sovkombank,5
533843,/bank/tinkoff-bank/otzyvy/533843,tinkoff-bank,5
533836,/bank/gazprombank/otzyvy/533836,gazprombank,5
533833,/bank/gazprombank/otzyvy/533833,gazprombank,5
533831,/bank/sovkombank/otzyvy/533831,sovkombank,5
533827,/bank/gazprombank/otzyvy/533827,gazprombank,5
533826,/bank/tinkoff-bank/otzyvy/533826,tinkoff-bank,5
533825,/bank/gazprombank/otzyvy/533825,gazprombank,5
533824,/bank/tinkoff-bank/otzyvy/533824,tinkoff-bank,5
533822,/bank/gazprombank/otzyvy/533822,gazprombank,5
533815,/bank/gazprombank/otzyvy/533815,gazprombank,5
533813,/bank/gazprombank/otzyvy/533813,gazprombank,5
533810,/bank/tinkoff-bank/otzyvy/533810,tinkoff-bank,5
533798,/bank/tinkoff-bank/otzyvy/533798,tinkoff-bank,5
533784,/bank/tinkoff-bank/otzyvy/533784,tinkoff-bank,5
533779,/bank/tinkoff-bank/otzyvy/533779,tinkoff-bank,5
533765,/bank/tinkoff-bank/otzyvy/533765,tinkoff-bank,5
533752,/bank/tochka/otzyvy/533752,tochka,5
533727,/bank/tinkoff-bank/otzyvy/533727,tinkoff-bank,5
533715,/bank/sovkombank/otzyvy/533715,sovkombank,5
533714,/bank/tochka/otzyvy/533714,tochka,5
533701,/bank/tinkoff-bank/otzyvy/533701,tinkoff-bank,5
533700,/bank/sovkombank/otzyvy/533700,sovkombank,5
533676,/bank/tinkoff-bank/otzyvy/533676,tinkoff-bank,5
533662,/bank/gazprombank/otzyvy/533662,gazprombank,1
533654,/bank/sovkombank/otzyvy/533654,sovkombank,5
533646,/bank/tinkoff-bank/otzyvy/533646,tinkoff-bank,5
533629,/bank/sovkombank/otzyvy/533629,sovkombank,5
533622,/bank/tinkoff-bank/otzyvy/533622,tinkoff-bank,5
533615,/bank/tinkoff-bank/otzyvy/533615,tinkoff-bank,5
533607,/bank/tochka/otzyvy/533607,tochka,5
533594,/bank/tinkoff-bank/otzyvy/533594,tinkoff-bank,5
533587,/bank/tinkoff-bank/otzyvy/533587,tinkoff-bank,5
533586,/bank/tinkoff-bank/otzyvy/533586,tinkoff-bank,5
533576,/bank/tinkoff-bank/otzyvy/533576,tinkoff-bank,5
533568,/bank/tinkoff-bank/otzyvy/533568,tinkoff-bank,1
533566,/bank/tinkoff-bank/otzyvy/533566,tinkoff-bank,5
533565,/bank/tinkoff-bank/otzyvy/533565,tinkoff-bank,5
533555,/bank/tinkoff-bank/otzyvy/533555,tinkoff-bank,5
533549,/bank/tinkoff-bank/otzyvy/533549,tinkoff-bank,5
533519,/bank/tinkoff-bank/otzyvy/533519,tinkoff-bank,5
533509,/bank/tinkoff-bank/otzyvy/533509,tinkoff-bank,5
533498,/bank/tinkoff-bank/otzyvy/533498,tinkoff-bank,5
533496,/bank/sovkombank/otzyvy/533496,sovkombank,5
533482,/bank/tinkoff-bank/otzyvy/533482,tinkoff-bank,5
533465,/bank/sovkombank/otzyvy/533465,sovkombank,5
533455,/bank/tochka/otzyvy/533455,tochka,5
533435,/bank/tochka/otzyvy/533435,tochka,5
533429,/bank/tinkoff-bank/otzyvy/533429,tinkoff-bank,5
533426,/bank/tochka/otzyvy/533426,tochka,5
533404,/bank/tinkoff-bank/otzyvy/533404,tinkoff-bank,5
533391,/bank/tinkoff-bank/otzyvy/533391,tinkoff-bank,5
533390,/bank/tinkoff-bank/otzyvy/533390,tinkoff-bank,5
533389,/bank/tinkoff-bank/otzyvy/533389,tinkoff-bank,5
533360,/bank/tinkoff-bank/otzyvy/533360,tinkoff-bank,5
533359,/bank/expobank/otzyvy/533359,expobank,5
533353,/bank/tinkoff-bank/otzyvy/533353,tinkoff-bank,5
533335,/bank/tinkoff-bank/otzyvy/533335,tinkoff-bank,5
533333,/bank/gazprombank/otzyvy/533333,gazprombank,3
533303,/bank/tinkoff-bank/otzyvy/533303,tinkoff-bank,5
533269,/bank/tinkoff-bank/otzyvy/533269,tinkoff-bank,5
533264,/bank/tinkoff-bank/otzyvy/533264,tinkoff-bank,5
533241,/bank/tinkoff-bank/otzyvy/533241,tinkoff-bank,5
533230,/bank/tinkoff-bank/otzyvy/533230,tinkoff-bank,5
533225,/bank/sovkombank/otzyvy/533225,sovkombank,5
533224,/bank/sovkombank/otzyvy/533224,sovkombank,5
533223,/bank/tinkoff-bank/otzyvy/533223,tinkoff-bank,5
533217,/bank/tinkoff-bank/otzyvy/533217,tinkoff-bank,5
533214,/bank/tinkoff-bank/otzyvy/533214,tinkoff-bank,5
533199,/bank/sovkombank/otzyvy/533199,sovkombank,4
533179,/bank/tinkoff-bank/otzyvy/533179,tinkoff-bank,5
533176,/bank/tinkoff-bank/otzyvy/533176,tinkoff-bank,5
533165,/bank/tinkoff-bank/otzyvy/533165,tinkoff-bank,5
533160,/bank/tochka/otzyvy/533160,tochka,5
533141,/bank/sovkombank/otzyvy/533141,sovkombank,5
533109,/bank/tinkoff-bank/otzyvy/533109,tinkoff-bank,5
533107,/bank/alfa-bank/otzyvy/533107,alfa-bank,1
533070,/bank/tinkoff-bank/otzyvy/533070,tinkoff-bank,5
533068,/bank/tinkoff-bank/otzyvy/533068,tinkoff-bank,5
533021,/bank/tinkoff-bank/otzyvy/533021,tinkoff-bank,5
533009,/bank/tinkoff-bank/otzyvy/533009,tinkoff-bank,5
532994,/bank/sovkombank/otzyvy/532994,sovkombank,5
532982,/bank/tinkoff-bank/otzyvy/532982,tinkoff-bank,1
532981,/bank/tinkoff-bank/otzyvy/532981,tinkoff-bank,5
532944,/bank/tinkoff-bank/otzyvy/532944,tinkoff-bank,5
532937,/bank/sovkombank/otzyvy/532937,sovkombank,4
532934,/bank/tinkoff-bank/otzyvy/532934,tinkoff-bank,5
532920,/bank/tinkoff-bank/otzyvy/532920,tinkoff-bank,5
532856,/bank/tinkoff-bank/otzyvy/532856,tinkoff-bank,5
532834,/bank/tinkoff-bank/otzyvy/532834,tinkoff-bank,5
532833,/bank/tinkoff-bank/otzyvy/532833,tinkoff-bank,5
532830,/bank/tinkoff-bank/otzyvy/532830,tinkoff-bank,5
532804,/bank/sovkombank/otzyvy/532804,sovkombank,5
532783,/bank/tinkoff-bank/otzyvy/532783,tinkoff-bank,5
532770,/bank/tinkoff-bank/otzyvy/532770,tinkoff-bank,1
532745,/bank/gazprombank/otzyvy/532745,gazprombank,1
532729,/bank/sovkombank/otzyvy/532729,sovkombank,5
532724,/bank/sovkombank/otzyvy/532724,sovkombank,5
532714,/bank/sovkombank/otzyvy/532714,sovkombank,5
532706,/bank/tinkoff-bank/otzyvy/532706,tinkoff-bank,5
532698,/bank/tinkoff-bank/otzyvy/532698,tinkoff-bank,5
532692,/bank/tinkoff-bank/otzyvy/532692,tinkoff-bank,5
532685,/bank/sovkombank/otzyvy/532685,sovkombank,4
532680,/bank/tinkoff-bank/otzyvy/532680,tinkoff-bank,5
532678,/bank/tinkoff-bank/otzyvy/532678,tinkoff-bank,5
532665,/bank/sovkombank/otzyvy/532665,sovkombank,5
532651,/bank/tinkoff-bank/otzyvy/532651,tinkoff-bank,5
532632,/bank/sovkombank/otzyvy/532632,sovkombank,5
532624,/bank/tinkoff-bank/otzyvy/532624,tinkoff-bank,5
532573,/bank/sovkombank/otzyvy/532573,sovkombank,5
532570,/bank/sovkombank/otzyvy/532570,sovkombank,5
532569,/bank/sovkombank/otzyvy/532569,sovkombank,5
532560,/bank/tinkoff-bank/otzyvy/532560,tinkoff-bank,5
532551,/bank/sovkombank/otzyvy/532551,sovkombank,5
532546,/bank/tinkoff-bank/otzyvy/532546,tinkoff-bank,5
532545,/bank/expobank/otzyvy/532545,expobank,5
532544,/bank/tinkoff-bank/otzyvy/532544,tinkoff-bank,5
532542,/bank/tinkoff-bank/otzyvy/532542,tinkoff-bank,5
532540,/bank/sovkombank/otzyvy/532540,sovkombank,5
532538,/bank/tinkoff-bank/otzyvy/532538,tinkoff-bank,5
532505,/bank/tinkoff-bank/otzyvy/532505,tinkoff-bank,5
532500,/bank/tinkoff-bank/otzyvy/532500,tinkoff-bank,5
532485,/bank/tinkoff-bank/otzyvy/532485,tinkoff-bank,5
532469,/bank/expobank/otzyvy/532469,expobank,5
532450,/bank/tinkoff-bank/otzyvy/532450,tinkoff-bank,5
532447,/bank/tinkoff-bank/otzyvy/532447,tinkoff-bank,5
532432,/bank/sovkombank/otzyvy/532432,sovkombank,5
532416,/bank/sovkombank/otzyvy/532416,sovkombank,5
532407,/bank/tinkoff-bank/otzyvy/532407,tinkoff-bank,5
532390,/bank/tinkoff-bank/otzyvy/532390,tinkoff-bank,5
532351,/bank/tinkoff-bank/otzyvy/532351,tinkoff-bank,5
532343,/bank/tinkoff-bank/otzyvy/532343,tinkoff-bank,5
532338,/bank/tinkoff-bank/otzyvy/532338,tinkoff-bank,5
532335,/bank/sovkombank/otzyvy/532335,sovkombank,5
532298,/bank/tinkoff-bank/otzyvy/532298,tinkoff-bank,5
532293,/bank/tinkoff-bank/otzyvy/532293,tinkoff-bank,5
532292,/bank/tinkoff-bank/otzyvy/532292,tinkoff-bank,5
532278,/bank/sovkombank/otzyvy/532278,sovkombank,5
532261,/bank/tinkoff-bank/otzyvy/532261,tinkoff-bank,5
532257,/bank/tinkoff-bank/otzyvy/532257,tinkoff-bank,5
532203,/bank/sovkombank/otzyvy/532203,sovkombank,5
